title,location,company,department,link,scrape_timestamp
Group Lead AI Engineering - NEURAGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDFhYzYzYTQtYTdjNy00ZmUyLThmNGEtMWU2NDVkMGM2N2Ew&showApplicationForm=false,2026-09-04_14-46-58
Group Lead Robotics Service & Maintenance - NEURAGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MmRiNzczYTUtMmU0Zi00Y2JjLWJiZDQtYmNkMGQ0YjQ5YmEy&showApplicationForm=false,2026-09-04_14-46-58
Physical AI Data Operations Expert (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTAzNzJiZWMtZWFkNi00MTMzLTgxNTItNGJiYzgyZGQzNDJl&showApplicationForm=false,2026-09-04_14-46-58
Physical AI Trainer - RoboGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDA3OGFhZGUtOGIxMS00MzU3LTk3NjQtZDU3ZmYyNDU1Y2Qx&showApplicationForm=false,2026-09-04_14-46-58
Teamlead AI Engineering - NEURAGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTc1N2VkYzQtNDNhZi00NTIxLThkODAtYzY4ZWZjMGI2ZGMy&showApplicationForm=false,2026-09-04_14-46-58
Teamlead AI Engineering - NeuraGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTFjODNmZWMtODZhZS00ZWI4LWFkZDEtOTkxMDc4Y2Y5ZTNj&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Robotics AI Engineer – Training & Deployment (Physical AI) (human),Munich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZTA2NjZjODUtZGNiMi00NjA2LWFjNmYtNTZjOWE1OGIzY2Nm&showApplicationForm=false,2026-09-04_14-46-58
AI Manipulation Engineer (human),Munich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MzNlMTZkODQtNGJjZC00ZDQ1LTk4OTEtMzdlOWUzODFjN2M4&showApplicationForm=false,2026-09-04_14-46-58
Robot Operator (human),Munich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZjRmNzZmMzctOWQwOS00NDg2LWE0MjUtOTYzMGEzMDQxYTJi&showApplicationForm=false,2026-09-04_14-46-58
AI Data Annotation Specialist (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWU3NDJjNDMtNjMwMS00ZGNjLWI4MjUtNTA2Njg4MDc0NTdh&showApplicationForm=false,2026-09-04_14-46-58
AI Data Engineer (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTg1ZjdlZmQtZGIxYy00MmZmLThlODktMmNkOGJlYzc0NTg2&showApplicationForm=false,2026-09-04_14-46-58
"AI Engineer - Task Planning and Orchestration, Embodied Agents (human)",Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWM1Yzk4NGItZWI0Yy00NTYyLTg4MzQtZjgzZWJiZDhiMDA3&showApplicationForm=false,2026-09-04_14-46-58
AI Engineer – Human-to-Robot Learning (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YjUzN2E4YmUtM2M3OS00NjM1LTk3YzMtMjM2NjU5ZDM5ZDEz&showApplicationForm=false,2026-09-04_14-46-58
AI Engineering Intern (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTcwYTQ1ZDgtZWY5Ni00NzI4LWE5NWUtNTkwOTQ3MmRhNTVl&showApplicationForm=false,2026-09-04_14-46-58
"AI, PLA & NeuraGym Demo Coordinator (human)",Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YTUxYzNhMGMtOWY0My00ZDU5LWE4Y2UtZThhNzMxMWQ1MWZk&showApplicationForm=false,2026-09-04_14-46-58
"AI, PLA & NeuraGym Strategist (human)",Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ODEwNTIxNzAtZTViNy00OGZiLThlZDQtYThlZTAzN2RmODQ1&showApplicationForm=false,2026-09-04_14-46-58
Agentic AI Engineer (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NzE2OWNhZDItNTY4Yi00MmE2LTk2NGYtZDU2NGU5NmUzMDI4&showApplicationForm=false,2026-09-04_14-46-58
Audio AI Engineer (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZmM5Y2YwN2MtYmU0NS00OGMzLWI3NmMtMmU3YzY2MjZkNmY3&showApplicationForm=false,2026-09-04_14-46-58
Group Lead AI Engineering (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MGRiYTBiNTgtOGQ1OS00MTBhLTliNWEtODMzNzc5NmZmN2Rk&showApplicationForm=false,2026-09-04_14-46-58
Head of Robotic AI Applications – NEURA Automation (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Y2Q4YWJhMjgtYTIyOS00OWVlLWJjMjktOTI0OTUyNDIzOGYx&showApplicationForm=false,2026-09-04_14-46-58
Robot Operator (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Y2EyZDI0ODEtNTY4ZC00NDQzLWI1M2ItZWU5ZTc4MTFmMzZk&showApplicationForm=false,2026-09-04_14-46-58
Robot Perception Expert (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZTlmZWY4MjItNjNmMi00ZjI3LWFiMTQtYTE2OTAzNDJiZjIx&showApplicationForm=false,2026-09-04_14-46-58
Robotic AI Application Engineer – NEURA Automation (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=N2Q4ZWE1YmUtMzRlMi00MjkxLTgwOGYtY2UyNWIzZDZkM2E0&showApplicationForm=false,2026-09-04_14-46-58
Robotic Foundation Model Engineer Intern (Human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWE5YTA4OTUtZjY2Yi00YTVmLWI5MzMtY2VjYTcwNmQwZTVj&showApplicationForm=false,2026-09-04_14-46-58
Robotics Integration Engineer – Sensor Networks (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDQwYjQyZjQtMWFjNS00YTNkLWFhZjYtMTA1YTY0OGRiNDJl&showApplicationForm=false,2026-09-04_14-46-58
Robotics Simulation Expert (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTdmZmQzMDYtMmIwZS00MDkxLTlmMTYtYzg5YTdjZjIzMzk5&showApplicationForm=false,2026-09-04_14-46-58
Senior Navigation and Localization Engineer for Mobile Robotics (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZWY4MzRlYzQtZTMxOS00ZTE5LTkyMWQtNGVhMDdkOGIwMjEz&showApplicationForm=false,2026-09-04_14-46-58
Senior Robotic Foundation Model Engineer (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWNlYWY1NGQtMWFmNi00NGFmLTlkODYtYmQyZDBhYWIyYWE3&showApplicationForm=false,2026-09-04_14-46-58
Reinforcement Learning Expert - Humanoid (human),Zurich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=M2JiMTI3NzQtMWEyYy00YmRkLTlmZDctMWUwYmUwYTU1ZGIz&showApplicationForm=false,2026-09-04_14-46-58
Robotics Perception & State Estimation Engineer - Humanoid (human),Zurich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDc2OTczNDAtOTFjOC00NmE0LWEzODUtMDI0ZTg3N2ZiYTll&showApplicationForm=false,2026-09-04_14-46-58
Facility Support & Logistic - RoboGym (human),Aachen,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NzVkNmRkMWUtOTQ3MS00YzdjLWFhY2UtNWYxMTk3NWIxMTYw&showApplicationForm=false,2026-09-04_14-46-58
NEURAGym Manager - NEURAGym (human),Aachen,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OGRkZWZhMDItMGJjOC00YzdiLTg4MWEtZTE4NWFkNjU5NGZi&showApplicationForm=false,2026-09-04_14-46-58
Finance Manager (human),Detroit,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NWY4Yjg5ZGQtY2MxNi00ODc4LWE0YjYtZjVkOTE5ZTA3Njgw&showApplicationForm=false,2026-09-04_14-46-58
Facility Support & Logistic - RoboGym (human),Munich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDdlZDdhNmUtYzM2MC00ZTAzLWI1M2QtMDRmODM3NDVmNjNm&showApplicationForm=false,2026-09-04_14-46-58
Linux Infrastructure Engineer - RoboGym (human),Munich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWY4YzYwYjEtZGQwMy00ZjY4LWJhZWQtNTZiNTg5YzM0MDE2&showApplicationForm=false,2026-09-04_14-46-58
AI Business Integrator (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDdiYTA0OTUtYjcwNy00OWVkLWJkZTMtNDVmOTM3N2YyOGI0&showApplicationForm=false,2026-09-04_14-46-58
Business Partner People & Culture (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZjQ1OTA4ODktMzRjZS00YzYxLWI0OWUtZTU4YWVlYWFiMmM0&showApplicationForm=false,2026-09-04_14-46-58
CAD / PLM System Administrator (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NjE1ZWU1MTQtNDU1Ni00OTMzLWIwMTctMWM0MDA1MjEzOGJm&showApplicationForm=false,2026-09-04_14-46-58
CEO Office Intern (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MTRiY2Y5YzQtMjE3NC00NzYxLTg5MDEtOTFjODZiNjFlY2Y3&showApplicationForm=false,2026-09-04_14-46-58
ERP & Business Applications Intern (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDVlN2JiNWUtMjE4NC00NDQ3LTkzOGMtOTk0MTc2ODhkMTJi&showApplicationForm=false,2026-09-04_14-46-58
Facility Manager (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MjRhNjhhOGYtMDI5NC00MjQwLTgwYjktODdkYTY1ZWM0MTEy&showApplicationForm=false,2026-09-04_14-46-58
IT Project Manager (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWVkN2FiYTEtMmY2ZS00MGYxLTg3ZTYtNjJhZjM4ZWU4ODNh&showApplicationForm=false,2026-09-04_14-46-58
Jurist (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZWU3OWM1MGItOWUxYi00ZWVmLTk5ZWUtM2NiMDdlMDA0OTQ5&showApplicationForm=false,2026-09-04_14-46-58
Legal Intern (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Yzk3ZThjMWItMGY0ZS00ZjEzLWE0ZDgtZjAxMjhlNGIyZDI1&showApplicationForm=false,2026-09-04_14-46-58
Linux Infrastructure Engineer (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Nzc3OGM1NWQtZDc0MC00OTI0LTliZDYtNGQ5ZjVhMTBjZjk3&showApplicationForm=false,2026-09-04_14-46-58
Manager Business Artificial Intelligence (Human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDE5YTkwMmItMThkZC00ZmU1LTg0OWEtYzBkZmIxMjk1NTRm&showApplicationForm=false,2026-09-04_14-46-58
Modern Workplace Administrator (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MjFiNDc1YzYtYThiNS00YzgzLTk3MDctOWRjNGZkMmZmOTBm&showApplicationForm=false,2026-09-04_14-46-58
Office Manager (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ODdhOTBlMjMtOThkMi00N2JjLTk5ZDAtZGI3YjgxOTYwMmY2&showApplicationForm=false,2026-09-04_14-46-58
Patent Attorney / Patent Engineer (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NGRiM2MxNWUtMGUxYy00MTU2LWJmZWYtMDlhMzY1MjA0NDZl&showApplicationForm=false,2026-09-04_14-46-58
People & Culture Operations Expert (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NGY2MDMxZjgtMGRiNS00ZDA4LWE5NDMtOTMxNTI4NDVlYzZj&showApplicationForm=false,2026-09-04_14-46-58
People Development & Culture Manager (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YTNiMjM0NDctMTg4Ny00YzJjLTg5Y2QtNzRhMGI3Y2VmZWFk&showApplicationForm=false,2026-09-04_14-46-58
Recruiter (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZTgxZjcwOTAtMmE3NS00Y2JjLTkxNmUtYmQwZjQ1ZDVmMDVk&showApplicationForm=false,2026-09-04_14-46-58
Senior Business Central Consultant (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZWFlYjkzYmEtODFmMS00ZjU0LWI1MmMtNmQ0Mjk5MTUzMDgx&showApplicationForm=false,2026-09-04_14-46-58
Senior Consultant Business Central – Finance & Controlling (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NjI4NDk4YzktMjZmYi00NWFlLThhYTYtY2RiNTc5MzA2NjUw&showApplicationForm=false,2026-09-04_14-46-58
Senior Security Architect (Human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZDdiMmIwYTYtNDRhMS00MzRmLThmN2QtY2IyY2NjNzJlYjVj&showApplicationForm=false,2026-09-04_14-46-58
Strategic Inteligence Analyst (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ODQzMTIyY2MtNTJjNS00NTE4LWI4NjMtMGI4Zjg4NjIwOTRj&showApplicationForm=false,2026-09-04_14-46-58
Tax Manager (human),Riederich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Njc3ODY1Y2QtMWU4Yy00MjI4LTlkODQtMDk1MGQwZGViNTVl&showApplicationForm=false,2026-09-04_14-46-58
IT Support & Operations Engineer (human),Zurich,Neura Robotics,Corporate,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NDJmZGQ0MWUtYzZkMC00OTM4LWExZTktZTBmYTljNWJiNDBm&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Account Executive - (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NGE2YTk3ZDctZWRmOS00NDcxLTliODMtMmMwZDRmNzNlYjZi&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Concept Engineer - (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Nzc5MmNmM2EtNGZhMS00NWVkLWEwZmUtMjNhYmE0Y2VkMDBi&showApplicationForm=false,2026-09-04_14-46-58
Account Executive (human) - remote,Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTliN2QwNTEtZmE2Ni00MDM5LTkyNWEtNGM0MjQ0ZjQ4Mzk4&showApplicationForm=false,2026-09-04_14-46-58
Concept Engineer (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NGVlYWQ4ZDQtZDk0Yi00NjkwLTgwM2ItYjE5NGIyZjlmOTZl&showApplicationForm=false,2026-09-04_14-46-58
Growth Strategy Intern (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=KnhjYmghdyRlWFQ6ITgxKUlQVSovblYlZ09LI0FWVDBrTCsubG5uSw==&showApplicationForm=false,2026-09-04_14-46-58
Key Account Manager (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MjIwY2Y5NjctODNiZi00YWYzLTk4YWYtNzU5NzkwOTY3OGYw&showApplicationForm=false,2026-09-04_14-46-58
SDR (Sales Development Representative) - (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MzI5YmZjYzMtZjczYi00MzdlLTg2MmYtYzM3NzllNDBmYWVj&showApplicationForm=false,2026-09-04_14-46-58
Senior GTM Commercial Manager (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YTg1OWYzODMtYzNmNS00NGJhLTgyY2MtNTk1MDMyZGY2YTNh&showApplicationForm=false,2026-09-04_14-46-58
Senior Key Account Manager (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Zjg1Y2MxODYtYzBmYi00NjY1LTg2MzgtYjVlOTIxMDFlYjU0&showApplicationForm=false,2026-09-04_14-46-58
Senior Product GTM Manager (human),Munich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YzVhZDE3NTUtYTE5MC00YzVjLTljZWYtYzljY2JkNDcyMDIw&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Account Executive - (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=blslWkEpRmZkX04kQW0zcEpMX3FLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Concept Engineer - (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Q0FRb2twT3lrQVAtY2dwUSV2cntLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
Concept Engineer (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=cHV7R1kvP2ohQEZpZzMyVklCcmxLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
Growth Strategy Intern (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZGIwMmRiNTctZDRjOC00ODAwLWFkN2YtYmYxNGVlMTk2Nzgx&showApplicationForm=false,2026-09-04_14-46-58
Inside Sales Manager (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YzhkNDM1ZmItZTgxYi00MDRhLWIwZWUtMjgwMzhjNWNjYzIw&showApplicationForm=false,2026-09-04_14-46-58
Key Account Manager (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YX1qb1dHdGc0SU42Z1UwS0QkZFhLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
Pre Sales / Solution Manager (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZWE1YmY5NmMtMTVjYS00OTY4LTlkMWItNTk3YmNjNjdlOTcz&showApplicationForm=false,2026-09-04_14-46-58
SDR (Sales Development Representative) - (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Z21PaVZ7RDctO0hhKkMqTyxyZXNLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
Senior GTM Commercial Manager (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=UzllLkEuJHVCZUczbXZdZ3Q9P2NLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
Senior Key Account Manager (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ey8kVF8uMjNQakhiPVE5YVBaW2RLU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
Senior Product GTM Manager (human),Riederich,Neura Robotics,Growth,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=LUpvfVJQXS5ATU9Cc096WSosZy9LU3dXLD1LQCgzWmQ1JVkpUjRbSQ==&showApplicationForm=false,2026-09-04_14-46-58
"Advanced Materials Engineer, Humanoid Systems (human)",Munich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=TzFxMkRfLmgpeldyLmxAWnlGRncvblYlZ09LI0FWVDBrTCsubG5uSw==&showApplicationForm=false,2026-09-04_14-46-58
"Advanced Materials Engineer, Humanoid Systems (human)",Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OWI5ZTI4MWEtZTI0Yy00ODU2LWI1NzktZjAzMWJmMGVjYzg1&showApplicationForm=false,2026-09-04_14-46-58
Electrician for Prototyping (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTZhYzdhYjMtNTk0ZS00YjVmLTg3YjYtODU0OWIwMTUyMDM4&showApplicationForm=false,2026-09-04_14-46-58
Embedded & Firmware Engineer (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ODBhYjBlNzEtMGY3NS00ZmQ5LTlhNjEtYTAzMDQ5N2I1ZTZj&showApplicationForm=false,2026-09-04_14-46-58
Engineering Data & Change Management Specialist (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTc5YzAxMTItODM1MC00YzViLWJlYjgtZWVhMWFmMGI1ZTgx&showApplicationForm=false,2026-09-04_14-46-58
Hardware Architect - Cognitive Robotics (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZWVjMTA3Y2QtNWNlMS00ODUxLWEwNWQtN2NhMjlkN2VmZDdl&showApplicationForm=false,2026-09-04_14-46-58
Lead Design Engineer (Human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=N2M5MzYzZGEtYzA1ZC00YmNhLWI4MjQtZjJhZDRlNzJiOWYy&showApplicationForm=false,2026-09-04_14-46-58
Mechanical Architect (Human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NzBjOGZhYzItYTU5Mi00MTYxLTljYzItOWQyYzg0NjczOGZm&showApplicationForm=false,2026-09-04_14-46-58
Operations Support (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDU1ZjQ3MDUtMGYxZC00YWYwLWJhNGYtYzE0ZGIxN2QwM2Nh&showApplicationForm=false,2026-09-04_14-46-58
PCB Design & Electrical Engineer (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YjI3OWUyNTAtYzM5My00NGFlLTg3OTItNmM3YjNhYTQ4NDgy&showApplicationForm=false,2026-09-04_14-46-58
Prototype & Cabling Engineer (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=M2Q4NDIzMDgtOGMwNi00ODNkLTk2NWQtZTVlYzM4MzNkMTRl&showApplicationForm=false,2026-09-04_14-46-58
Senior Design Engineer – MiPA (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MzczYWU5MDYtOWI4My00NmFiLTgyYmYtOWRhMDg5NGM3NmEz&showApplicationForm=false,2026-09-04_14-46-58
Senior Mechanical Engineer – MiPA (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NzZiNmFkNDItNWRiOS00YWMwLWJmOTMtZTMwOTczMjBjNDZk&showApplicationForm=false,2026-09-04_14-46-58
Simulation Engineer - Electromagnetics (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTU1Nzk5MGMtYjYzMC00ZTlhLWFkMjctMjRhOGQ4MGRhYTIy&showApplicationForm=false,2026-09-04_14-46-58
System Engineering (human),Riederich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ODBkOTBlZDgtYjdjMi00NTA5LWE5Y2EtZDQ3OGZiZmNkM2Rh&showApplicationForm=false,2026-09-04_14-46-58
Robotics Exterior Technical Designer - Humanoid (human),Zurich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZGQxOWZmNDktZDRiOC00Zjg4LTk4MmMtZjkzNGI4YTk5ODdh&showApplicationForm=false,2026-09-04_14-46-58
Senior Mechanical Engineer - Humanoid (human),Zurich,Neura Robotics,Hardware,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YTJmZDg2N2YtNjdlNi00MWQ4LTk2NzItZjczOWE1NWJhYzMy&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Marketing Manager Partners & Ecosystem (human),Riederich,Neura Robotics,Marketing,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZjNkYmMzZDMtNTgxZS00M2JlLTlhNjAtZTdiYWE2OGFhNWFj&showApplicationForm=false,2026-09-04_14-46-58
Communication Designer for Brand Identity & Creative Production (human),Riederich,Neura Robotics,Marketing,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MThiYzJkNDAtNGUyMS00ZmUyLTk0OTUtOGNiYjc4ODM1YjZl&showApplicationForm=false,2026-09-04_14-46-58
Event Manager (human),Riederich,Neura Robotics,Marketing,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OWM5MzU3NTEtMmFmNS00MDJmLWIyNzQtZWVjOTkyNjhhYWI2&showApplicationForm=false,2026-09-04_14-46-58
Event Marketing Internship (human),Riederich,Neura Robotics,Marketing,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YjRhMmZiN2YtZmEwMC00MzVmLWE3ZGItZTlmZDNjZTkwMTE1&showApplicationForm=false,2026-09-04_14-46-58
Product Marketing Manager (human),Riederich,Neura Robotics,Marketing,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OWRkOTQzZGMtMDU5Zi00Mzg4LWI2MmMtZjc1MTI1Yzc2OTQy&showApplicationForm=false,2026-09-04_14-46-58
Social Media Manager (human),Riederich,Neura Robotics,Marketing,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=Y2E3M2YxMGQtNmQ5OC00Zjk1LWJiZTYtZGU4YWVjOTQwOGFi&showApplicationForm=false,2026-09-04_14-46-58
