department,count
Software,84
AI,56
Corporate,45
Growth,31
Hardware,29
Product,18
Production,17
Service & Academy,10
Marketing,9
Quality,7
Systems Engineering,7
Supply Chain,5
Unsolicited Application,1
TOTAL,319
