title,location,company,department
"Advanced Materials Engineer, Humanoid Systems (human)",Metzingen,Neura Robotics,Hardware
Project Director Cloud (human),Metzingen,Neura Robotics,Growth
ERP & Business Applications Intern (human),Metzingen,Neura Robotics,Corporate
CAD / PLM System Administrator (human),Zurich,Neura Robotics,Corporate
Event Marketing Internship (human),Metzingen,Neura Robotics,Marketing
Robot Platform Engineer (human),Zurich,Neura Robotics,Software
Tech Lead — Robot Systems & Integration (human),Metzingen,Neura Robotics,Software
Junior Training Engineer (human),Metzingen,Neura Robotics,Service & Academy
Firmware Engineer — Dexterous Hand Systems (human),Munich,Neura Robotics,Software
Business Partner People & Culture (human),Metzingen,Neura Robotics,Corporate
GPU Cluster Engineer (human),Metzingen,Neura Robotics,Software
Key Account Manager (human),Munich,Neura Robotics,Growth
CEO Office Intern (human),Metzingen,Neura Robotics,Corporate
Mechanical Technician - Humanoid (human),Zurich,Neura Robotics,Hardware
Robot Platform Engineer (human),Metzingen,Neura Robotics,Software
Locomotion & Whole-Body Control Engineer (human),Metzingen,Neura Robotics,Software
Engineering Data & Change Management Specialist (human),Metzingen,Neura Robotics,Hardware
Linux Infrastructure Engineer - RoboGym (human),Munich,Neura Robotics,Corporate
Embedded Cybersecurity Engineer (human),Metzingen,Neura Robotics,Software
Strategy Intern (human),Metzingen,Neura Robotics,Product
Supplier Quality Engineer (human),Metzingen,Neura Robotics,Quality
Mechanical Engineer - Humanoid (human),Zurich,Neura Robotics,Hardware
Advanced Training Engineer – APIs & Industrial Interfaces (human),Metzingen,Neura Robotics,Service & Academy
Product Marketing Manager (human),Metzingen,Neura Robotics,Marketing
Functional Safety Manager (human),Metzingen,Neura Robotics,Software
Functional Safety Engineer (human),Metzingen,Neura Robotics,Software
Reinforcement Learning Research Scientist for Dexterous Manipulation (human),Metzingen,Neura Robotics,AI
Mechanics / Mechatronics Engineer - Humanoid (human),Metzingen,Neura Robotics,Hardware
AI Engineering Intern (human),Metzingen,Neura Robotics,AI
Concept Engineer (human),Metzingen,Neura Robotics,Growth
First Level Support (human),Metzingen,Neura Robotics,Corporate
Senior Contract Management Specialist - (human),Metzingen,Neura Robotics,Growth
Group Manager – Functional Safety (human),Metzingen,Neura Robotics,Software
Technical Drafting Specialist - Humanoid (human),Zurich,Neura Robotics,Hardware
Technical Writer - Content Delivery and Multi-Channel Publishing (human),Metzingen,Neura Robotics,Product
Systems Architect (human),Metzingen,Neura Robotics,Software
Robotics Software Engineer (human),Metzingen,Neura Robotics,Software
IT Modern Workplace Administrator (human),Detroit,Neura Robotics,Corporate
Account Executive (human),Munich,Neura Robotics,Growth
Head of Frontend & UX (human),Metzingen,Neura Robotics,Software
Robot Client SDK Engineer (human),Zurich,Neura Robotics,Software
Robotics Service/Maintenance Technician - RoboGym (human),Munich,Neura Robotics,Service & Academy
Service Engineer (human),Metzingen,Neura Robotics,Service & Academy
Senior Product GTM Manager (human),Munich,Neura Robotics,Growth
System Integration Engineer (human),Metzingen,Neura Robotics,Software
Purchasing Group Lead (human),Metzingen,Neura Robotics,Supply Chain
Hardware Architect - Cognitive Robotics (human),Metzingen,Neura Robotics,Hardware
Supply Chain Specialist – Logistics & Production (human),Metzingen,Neura Robotics,Supply Chain
Embedded & Firmware Engineer (human),Metzingen,Neura Robotics,Hardware
Purchasing Intern (human),Metzingen,Neura Robotics,Supply Chain
Videographer & Content Creator (human),Metzingen,Neura Robotics,Marketing
AI Automation Engineer People & Culture (human),Metzingen,Neura Robotics,Corporate
Key Account Manager (human),Metzingen,Neura Robotics,Growth
"Mechanical Design Engineer, Injection Molding – Humanoid (human)",Zurich,Neura Robotics,Hardware
Senior Account Executive (human),Metzingen,Neura Robotics,Growth
Senior Ecommerce Manager (human),Metzingen,Neura Robotics,Growth
Senior GTM Commercial Manager (human),Munich,Neura Robotics,Growth
Commissioning Technician (human),Metzingen,Neura Robotics,Production
Project Manager Strategy (human),Metzingen,Neura Robotics,Corporate
Group Lead AI Engineering - RoboGym (human),Munich,Neura Robotics,AI
PCB Design & Electrical Engineer (human),Metzingen,Neura Robotics,Hardware
"Dynamics, System Identification & Estimation Engineer - PLA (human)",Zurich,Neura Robotics,Software
Quality Technician (human),Metzingen,Neura Robotics,Quality
Industrial Engineer – Robotics Manufacturing & Process Automation (human),Metzingen,Neura Robotics,Production
Modern Workplace Administrator (human),Metzingen,Neura Robotics,Corporate
SDR (Sales Development Representative) - (human),Munich,Neura Robotics,Growth
"Advanced Materials Engineer, Humanoid Systems (human)",Munich,Neura Robotics,Hardware
AI Business Integrator (human),Metzingen,Neura Robotics,Corporate
RT Communication Bus Engineer (human),Metzingen,Neura Robotics,Software
Reinforcement Learning Expert - Humanoid (human),Zurich,Neura Robotics,AI
Security Engineer (human),Metzingen,Neura Robotics,Software
Intern COO Office / Project Management (human),Metzingen,Neura Robotics,Corporate
Service Desk / Technical Support (human),Metzingen,Neura Robotics,Service & Academy
Robotics Product Manager (human),Metzingen,Neura Robotics,Product
Business Central Developer - Microsoft Dynamics 365 (human),Metzingen,Neura Robotics,Corporate
Manager Business Artificial Intelligence (Human),Metzingen,Neura Robotics,Corporate
Technical Purchasing Specialist – Humanoid (human),Zurich,Neura Robotics,Hardware
Data/Robot Operator Intern (Teleops) (human),Metzingen,Neura Robotics,AI
Fullstack Engineer (human),Metzingen,Neura Robotics,Software
Linux Infrastructure Engineer (human),Metzingen,Neura Robotics,Corporate
RT & Kernel Engineer (human),Munich,Neura Robotics,Software
Locomotion & Whole-Body Control Engineer (human),Zurich,Neura Robotics,Software
System Engineer (human),Metzingen,Neura Robotics,Software
Certification Expert – Robotics (human),Metzingen,Neura Robotics,Software
Teleoperation Software Engineer - NEURAGym (human),Metzingen,Neura Robotics,AI
Robotic Foundation Model Engineer (human),Metzingen,Neura Robotics,AI
Senior Account Executive (human),Munich,Neura Robotics,Growth
