department,count
Additive Manufacturing,1
Avionics,3
Avionics Production,4
Chief Engineering,2
Design,6
Engine Assembly,1
Finance,1
Launch,1
Launch Operations & Quality,2
Legal & Contracts,1
Manufacturing,1
Procurement,1
Production,2
Program Management,3
Propulsion,3
Propulsion Production,1
Quality Assurance,1
Software,7
Stage Assembly,1
Supply Chain Management,1
UK,6
TOTAL,49
