id,source_id,source_job_id,title,location,company,department,link,scrape_timestamp
rocket-factory-augsburg:4826227101,rocket-factory-augsburg,4826227101,Intern (f/m/d) Simulation Engineer Mission Analysis,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Chief Engineering,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4826227101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4823887101,rocket-factory-augsburg,4823887101,Intern (m/f/d) 3D Printing/Additive Manufacturing,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Additive Manufacturing,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4823887101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4966913101,rocket-factory-augsburg,4966913101,Intern (m/f/d) Accounting,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Finance,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4966913101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4917841101,rocket-factory-augsburg,4917841101,Intern (m/f/d) Development Engineer,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Design,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4917841101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4960338101,rocket-factory-augsburg,4960338101,Intern (m/f/d) GNC - Reusable Launch Vehicles,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Software,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4960338101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4878506101,rocket-factory-augsburg,4878506101,Intern (m/f/d) Institutional Projects,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Program Management,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4878506101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4960892101,rocket-factory-augsburg,4960892101,Intern (m/f/d) Institutional Projects (LCA),"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Program Management,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4960892101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4878647101,rocket-factory-augsburg,4878647101,Intern (m/f/d) LabVIEW Programming,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Software,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4878647101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4824842101,rocket-factory-augsburg,4824842101,Intern (m/f/d) Mathematical Modeling,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Software,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4824842101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4837700101,rocket-factory-augsburg,4837700101,Intern (m/f/d) Propulsion Engineering,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Propulsion,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4837700101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4830984101,rocket-factory-augsburg,4830984101,Intern (m/f/d) Propulsion Test Data Engineer,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Propulsion,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4830984101,2026-09-24T14:24:22.291092Z
rocket-factory-augsburg:4960401101,rocket-factory-augsburg,4960401101,Intern (m/f/d) Redundant Flight Software Development,"Augsburg, Bavaria, Germany",Rocket Factory Augsburg,Software,https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4960401101,2026-09-24T14:24:22.291092Z
