id,source_id,change,title,location,observed_at
rocket-factory-augsburg:4979565101,rocket-factory-augsburg,new,Procurement Manager (f/m/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4828909101,rocket-factory-augsburg,new,Propulsion Development Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4877177101,rocket-factory-augsburg,new,Propulsion Production Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4964986101,rocket-factory-augsburg,new,Propulsion Test Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4833743101,rocket-factory-augsburg,new,Propulsion Test Technician,"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4918738101,rocket-factory-augsburg,new,RF Design Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4978675101,rocket-factory-augsburg,new,Senior Development Engineer - Umbilicals (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4973276101,rocket-factory-augsburg,new,Senior Electrical Engineer - Launch (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4888885101,rocket-factory-augsburg,new,Senior Fluidic Component Design Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4829103101,rocket-factory-augsburg,new,Stage Assembly & Integration Technician (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4947658101,rocket-factory-augsburg,new,Vehicle Production Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4829139101,rocket-factory-augsburg,new,Welder (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4929561101,rocket-factory-augsburg,new,Welder (m/f/d) UK/Shetlands,"Shetland Islands, Scotland, United Kingdom",2026-09-22T12:21:44.793831Z
