department,count
Vehicle Service,2747
Manufacturing,2109
Sales & Customer Support,1845
Engineering & Information Technology,1523
Construction & Facilities,791
Energy - Solar & Storage,683
Supply Chain,648
Tesla AI,426
People,294
Operations & Business Support,281
Vehicle Software,184
"Environmental, Health, Safety & Security",181
Finance,164
Energy Engineering,119
Legal & Government Affairs,97
Charging,96
Design,66
Terafab,45
TOTAL,12299
