department,count
Construction,131
Civil and Structural,122
Project Management,121
Electrical,62
Operations and Maintenance,58
Environmental,49
Drafting and Design,40
Architecture and Interiors,39
Enterprise Functions,34
Mechanical,33
Project Controls,32
Digital and Data,31
Planning and Consulting,17
Business and Sales,16
Program Management,11
Health and Safety,11
Accounting and Finance,4
Information Technology,2
Chemical,2
Multiple locations,1
TOTAL,816
