title,location,company,department,link,mission,requirements,benefits,scrape_timestamp
"Accountant, Revenue","Palo Alto, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8663938002?gh_jid=8663938002,"Calculate, analyze, and report revenue for SpaceX AI’s AI platform and services, including Grok API usage-based billing, subscriptions, and enterprise agreements
Prepare journal entries, reconciliations, and materials for internal and external reporting on a monthly and quarterly basis
Work with technical accounting to document new product and platform initiatives to ensure all transactions are accounted for in accordance with company policies and US GAAP
Identify opportunities for process improvement and drive initiatives to simplify, eliminate, or automate operational activities (including revenue systems and reporting)
Work cross-functionally with Engineering, Product, Revenue Operations, Sales, and Legal teams to gain an in-depth understanding of company operations and business results within assigned areas
Execute and maintain high-quality work to ensure accuracy and completeness of the company’s financial statements
Provide support for annual financial statement audits, ad hoc analyses, user acceptance testing, and revenue-related projects as needed","Bachelor’s degree
1.5+ years of accounting experience
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
CPA license or equivalent
2+ years of work experience in revenue accounting (SaaS/technology revenue experience strongly preferred)
Advanced Excel skills; experience with analytics/BI tools (SQL, Power BI, Superset, Alteryx, etc.) is desirable
Experience with ERP and billing systems (Oracle, HubSpot, Stripe Billing, etc.) is desirable
Exceptional analytical skills and experience working with large data sets
Strong written, verbal, and interpersonal communication skills
Strong attention to detail and the ability to deliver high-quality results under short deadlines
Strong understanding of ASC 606 revenue recognition principles
A proactive, self-directed approach with the ability to multi-task, think creatively, and learn quickly in a fast-paced environment","Willingness to work long hours and weekends when needed to meet critical deadlines
This position is based in Palo Alto, CA, and requires being onsite - remote and hybrid work is not considered
COMPENSATION AND BENEFITS:
Pay Range:
Level 1: $95,000.00 - $130,000.00
Level 2: $110,000.00 - $155,000.00
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Com",2026-09-04_16-24-27
"Accountant, Revenue","Hawthorne, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8523414002?gh_jid=8523414002,"Calculate, analyze, and report revenue for Starlink, SpaceX’s global internet business
Prepare journal entries, reconciliations, and materials for internal and external reporting on a monthly and quarterly basis
Perform accounting analyses on new product initiatives to ensure all transactions are accounted for in accordance with company policies and US GAAP
Participate in and drive order-to-cash process improvements and automation initiatives to enhance revenue system capabilities
Work cross-functionally to gain an in-depth understanding of company operations and business results within assigned areas
Execute and maintain high-quality work to ensure accuracy and completeness of the company’s financial statements
Provide support for annual financial statement audits, ad hoc analyses, user acceptance testing, and revenue related projects as needed","Bachelor’s degree
2+ years of accounting experience
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
Prior experience in Microsoft Excel, SQL, D365 and Power BI
Exceptional analytical skills and experience working with large data sets
Strong written, verbal, and interpersonal communication skills including the ability to listen attentively and communicate information clearly and effectively
CPA license or equivalent
Experience in accounting for subscription-based technology companies with global sales
Strong understanding of ASC 606 revenue recognition principles
A proactive, self-directed approach with the ability to multi-task, think creatively, and learn quickly in a fast-paced environment","Willingness to work long hours and weekends when needed to meet critical deadlines
This position is based in Hawthorne, CA, and requires being onsite - remote and hybrid work is not considered
COMPENSATION AND BENEFITS:
Pay range:
Accountant: $85,000.00 - $120,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company po",2026-09-04_16-24-30
"Accountant, Revenue","Hawthorne, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8577633002?gh_jid=8577633002,"Calculate, analyze, and report revenue for SpaceXAI’s AI platform and services, including Grok API usage-based billing, subscriptions, and enterprise agreements
Prepare journal entries, reconciliations, and materials for internal and external reporting on a monthly and quarterly basis
Work with technical accounting to document new product and platform initiatives to ensure all transactions are accounted for in accordance with company policies and US GAAP
Identify opportunities for process improvement and drive initiatives to simplify, eliminate, or automate operational activities (including revenue systems and reporting)
Work cross-functionally with Engineering, Product, Revenue Operations, Sales, and Legal teams to gain an in-depth understanding of company operations and business results within assigned areas
Execute and maintain high-quality work to ensure accuracy and completeness of the company’s financial statements
Provide support for annual financial statement audits, ad hoc analyses, user acceptance testing, and revenue-related projects as needed","Bachelor’s degree
2+ years of accounting experience
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
CPA license or equivalent
Minimum of 2 years of work experience in revenue accounting (SaaS/technology revenue experience strongly preferred)
Advanced Excel skills; experience with analytics/BI tools (SQL, Power BI, Superset, Alteryx, etc.) is desirable
Experience with ERP and billing systems (Oracle, HubSpot, Stripe Billing, etc.) is desirable
Exceptional analytical skills and experience working with large data sets
Strong written, verbal, and interpersonal communication skills
Strong attention to detail and the ability to deliver high-quality results under short deadlines
Strong understanding of ASC 606 revenue recognition principles
A proactive, self-directed approach with the ability to multi-task, think creatively, and learn quickly in a fast-paced environment","Willingness to work long hours and weekends when needed to meet critical deadlines
This position is based in Hawthorne, CA, and requires being onsite - remote and hybrid work is not considered
COMPENSATION AND BENEFITS:
Pay range:
Accountant: $85,000.00 - $120,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company po",2026-09-04_16-24-31
